cell_type,action,energy,age,reward
1,1,31.388630630448553,20,-2.5
1,1,64.32323688618492,19,0.0
2,0,87.67719035895169,9,0.0
2,0,45.92761040746114,9,0.0
2,1,49.48345018359658,23,0.0
2,0,32.964127061578274,22,0.0
1,0,46.72017467894612,3,0.0
2,0,30.38478562110753,20,0.0
2,2,18.62436737096092,20,0.0
2,3,140.0,16,112.98062805524769
1,1,34.61546604170985,23,-2.5
1,1,31.406759728162868,20,-2.5
2,0,45.77174893923312,10,0.0
2,2,38.5072909343842,21,0.0
1,0,65.40675972816285,20,0.0
1,1,24.53943086420458,22,-2.5
1,1,51.53943086420457,22,-2.5
2,0,45.825079676090866,23,0.0
2,0,97.48030268237349,5,0.0
2,1,24.01932882837984,22,0.0
2,0,37.53601456160141,13,0.0
1,3,37.35275030627041,33,0.0
2,1,32.60613442176551,16,0.0
2,3,7.342076096037697,33,0.0
2,2,26.379481461655374,22,0.0
1,1,42.1144213557728,21,-2.5
1,1,45.97215347242648,21,-2.5
